name,city,country,iata,icao
Fazenda Caranday Airport,Corumba,BR,,SSDH
Fazenda Bacatuba Airport,Buriti Bravo,BR,,SSDI
Fazenda Bonanza Airport,Camapua,BR,,SSDJ
Fazenda Vista Alegre Airport,Novo Horizonte Do Sul,BR,,SSDK
Fazenda Ribeirao Airport,Ribeirao Goncalves,BR,,SSDL
Aeroclube de Santana do Livramento Airport,Santana Do Livramento,BR,,SSDM
Fazenda Galileia Airport,Baixa Grande Do Ribeiro,BR,,SSDN
Dourados Airport,Dourados,BR,DOU,SSDO
Fazenda Fortaleza do Guapore Airport,Vila Bela Da Santissima Trindade,BR,,SSDP
Fazenda Marema Airport,Miranda,BR,,SSDQ
Fazenda Bandeirantes Airport,Nova Crixas,BR,,SSDS
Fazenda Pau D`Arco Airport,Redencao,BR,,SSDT
Fazenda Modelo Airport,Pedro Gomes,BR,,SSDU
Fazenda Santa Maria Airport,Coxim,BR,,SSDV
Fazenda Potrich Airport,Sorriso,BR,,SSDW
Fazenda da Coxilha Airport,Camaqua,BR,,SSDX
Fazenda Duas Irmas Airport,Guiratinga,BR,,SSDY
Fazenda Divisao Airport,Amambai,BR,,SSDZ
Fazenda Escalada Airport,Pedro Gomes,BR,,SSED
Regional do Vale do Taquari Airport,Estrela,BR,,SSEE
Fazenda Passaredo Airport,Cajuru,BR,,SSEF
Estancia da Gruta Airport,Pelotas,BR,,SSEG
Fazenda Santo Andre Airport,Miranda,BR,,SSEI
Fazenda Lontra Airport,Ribas Do Rio Pardo,BR,,SSEK
Fazenda Jatiuca Airport,Agua Clara,BR,,SSEL
Fazenda Mimoso Airport,Ribas Do Rio Pardo,BR,,SSEO
Sao Sepe Airport,Sao Sepe,BR,,SSEP
Fazenda Rio Brilhante Airport,Angelica,BR,,SSEQ
Erechim Airport,Erechim,BR,ERM,SSER
Encruzilhada do Sul Airport,Encruzilhada Do Sul,BR,,SSES
Tambau Airport,Tambau,BR,,SSET
Monte Carmelo Airport,Itaituba,BR,,SSEU
Sao Camilo Airport,Corumba,BR,,SSEV
Sitio Limoeiro Airport,Pardinho,BR,,SSEW
Estancia Caiman Airport,Miranda,BR,,SSEX
Estancia Itapororo Airport,Alegrete,BR,,SSEY
Espumoso Airport,Espumoso,BR,,SSEZ
Foz do Areia Airport,Pinhao,BR,,SSFA
Francisco Beltrao Airport,Francisco Beltrao,BR,FBE,SSFB
Fazenda Acaraja Airport,Amambai,BR,,SSFD
Estancia Hercules Airport,Foz Do Iguacu,BR,,SSFE
Fazenda Sao Francisco Airport,Nova Alvorada Do Sul,BR,,SSFF
Fazenda Guanabara Airport,Paranapoema,BR,,SSFG
Vale dos Dinassauros Airport,Uberaba,BR,,SSFH
Fazenda Itamarati Airport,Ponta Pora,BR,,SSFI
Fazenda Retiro da Cachoeira Airport,Campo Grande,BR,,SSFJ
Forte Coimbra Airport,Corumba,BR,,SSFK
Joao Pereira dos Santos Filho Airport,Fronteiras,BR,,SSFL
Fazenda Marimbondo Airport,Conselheiro Mairinck,BR,,SSFM
Fazenda Novilho Airport,Caarapo,BR,,SSFN
Fazenda Novo Horizonte Airport,Miranda,BR,,SSFO
Fazenda Sao Paulo Airport,Tres Lagoas,BR,,SSFP
Fazenda Barra Nova Airport,Rio Brilhante,BR,,SSFQ
Fronteira Airport,Fronteira,BR,,SSFR
Fazenda Ligacao Airport,Sete Quedas,BR,,SSFU
Fazenda Grotao Airport,Coxim,BR,,SSFW
Fazenda Primavera Airport,Nova Fatima,BR,,SSFX
Garibaldi Airport,Garibaldi,BR,,SSGA
Guaratuba Airport,Guaratuba,BR,,SSGB
General Canrobert Pereira da Costa Airport,Aquidauana,BR,,SSGC
Fazenda Periquitos Airport,Tres Lagoas,BR,,SSGE
Fazenda Formosa Airport,Ribas Do Rio Pardo,BR,,SSGF
Fazenda Jacare de Chifre Airport,Porto Murtinho,BR,,SSGG
Fazenda Capao Verde Airport,Aquidauana,BR,,SSGH
Astral Airport,Eldorado Do Sul,BR,,SSGI
Fazenda Poleiro Grande Airport,Corumba,BR,,SSGJ
Fazenda Volta Grande Airport,Maracaju,BR,,SSGK
Fazenda Seriema Airport,Bela Vista,BR,,SSGM
Fazenda Guaiba Airport,Iguatemi,BR,,SSGN
Rosada Airport,Sao Gabriel D`Oeste,BR,,SSGO
Piquet Airport,Brasilia,BR,,SSGP
Guapore Airport,Guapore,BR,,SSGR
Fazenda Falcao Airport,Primavera Do Leste,BR,,SSGS
Fazenda Capao Alto Airport,Rio Brilhante,BR,,SSGT
Fazenda Gurucaia Airport,Santa Isabel Do Ivai,BR,,SSGU
Goio-Ere Airport,Goio-Ere,BR,,SSGW
Fazenda Rio Negro Airport,Aquidauana,BR,,SSGX
Guaira Airport,Guaira,BR,QGA,SSGY
Fazenda Santa Helena do Pindo Airport,Navirai,BR,,SSGZ
Aeroclube de Aquidauana Airport,Aquidauana,BR,,SSHA
Fazenda Serra Dourada Airport,Ivate,BR,,SSHB
Capitao Pedro Paranhos Airport,Guapirama,BR,,SSHC
Fazenda Bipandora II Airport,Itapora,BR,,SSHD
Sitio Serra Negra Airport,Corumba,BR,,SSHF
Antonio Joao Airport,Antonio Joao,BR,,SSHG
Fazenda Dom Francisco Airport,Itaquirai,BR,,SSHI
Fazenda Santa Rita Airport,Ponta Pora,BR,,SSHJ
Fazenda Jaguarandy Airport,Ponta Pora,BR,,SSHK
Fazenda Jussara Airport,Jussara,BR,,SSHL
Recanto das Aguias Airport,Iguaracu,BR,,SSHN
Fazenda Paraiso Airport,Terenos,BR,,SSHQ
Ingazeira Airport,Alta Floresta,BR,,SSHT
Fazenda Centenario Airport,Aquidauana,BR,,SSHU
Fazenda Macarai Airport,Itaquirai,BR,,SSHW
Fazenda Jatoba Airport,Paranhos,BR,,SSHX
Horizontina Airport,Horizontina,BR,HRZ,SSHZ
Fazenda Suely Airport,Agua Clara,BR,,SSIB
APLIC Aviacao Agricola Ltda Airport,Dourados,BR,,SSIC
Independencia Airport,Nova Andradina,BR,,SSID
Teruel Ipanema Estancia Airport,Campo Grande,BR,,SSIE
Fazenda Baunilha Airport,Itaquirai,BR,,SSIF
Fazenda Santa Maria Airport,Aquidauana,BR,,SSIG
Fazenda Fortaleza Airport,Brasilandia,BR,,SSIH
Fazenda Orion Airport,Bela Vista,BR,,SSII
Ijui Airport,Ijui,BR,IJU,SSIJ
Boqueirao Alegre Airport,Quarai,BR,,SSIM
Candiota Airport,Candiota,BR,,SSIO
Fazenda Santa Otilia Airport,Porto Murtinho,BR,,SSIP
Itaqui Airport,Itaqui,BR,ITQ,SSIQ
Ibiruba Airport,Ibiruba,BR,,SSIR
Major Jose Ignacio Airport,Ibate,BR,,SSIS
Sitio Enel Airport,Pantano Grande,BR,,SSIU
Fazenda Experimental Airport,Ivinhema,BR,,SSIV
Fazenda Damaro Airport,Miranda,BR,,SSIW
